Time,Flux
2500.1984276991343,
2500.2053728454116,
2500.2123179919804,
2500.21926313881,
2500.226208285902,
2500.233153433256,
2500.240098580872,
2500.2470437287207,148205.92
2500.2539888768306,148232.83
2500.260934025174,148266.77
2500.2678791737794,148394.58
2500.274824322589,148235.14
2500.281769471631,148270.8
2500.288714620876,148171.52
2500.295659770354,148277.34
2500.3026049200366,148216.31
2500.3095500699515,148246.08
2500.3164952200414,148191.34
2500.3234403703345,148220.67
2500.3303855208314,148250.22
2500.3373306715325,148249.08
2500.3442758223787,148218.52
2500.351220973429,148208.58
2500.3581661246826,148236.69
2500.3651112760817,148238.81
2500.372056427656,148236.55
2500.379001579375,148222.58
2500.3859467312986,148289.97
2500.392891883367,148414.33
2500.399837035581,148361.69
2500.406782187941,148358.03
2500.4137273404754,148392.95
2500.420672493126,148351.64
2500.4276176459225,148368.94
2500.4345627988646,148397.6
2500.4415079519517,148421.25
2500.4484531051844,148408.95
2500.4553982585044,148418.0
2500.4623434119703,148427.66
2500.469288565582,148333.58
2500.4762337192797,148372.4
2500.4831788731235,148358.77
2500.490124027055,148364.61
2500.4970691811027,148415.73
2500.504014335267,148434.47
2500.5109594895475,148386.38
2500.5179046439152,148458.77
2500.524849798371,148407.44
2500.5317949529426,148409.58
2500.5387401076305,148450.2
2500.5456852623765,148413.0
2500.5526304172386,148438.1
2500.5595755721893,148441.06
2500.5665207271977,148427.81
2500.573465882322,148415.16
2500.5804110375047,148513.31
2500.5873561927747,148463.64
2500.594301348133,148352.44
2500.6012465035483,148405.47
2500.6081916590506,148523.88
2500.6151368146407,148472.97
2500.6220819702603,148494.77
2500.6290271259677,148424.94
2500.6359722817615,148443.34
2500.642917437584,148424.5
2500.6498625934655,148424.7
2500.6568077494344,148493.06
2500.663752905461,148431.45
2500.6706980615168,148469.58
2500.67764321766,148479.12
2500.6845883738324,148446.7
2500.691533530063,148489.88
2500.698478686352,148457.69
2500.7054238426695,148446.33
2500.7123689990167,148465.34
2500.71931415548,148504.05
2500.726259311943,148467.34
2500.7332044684067,148555.97
2500.7401496249863,148458.58
2500.7470947815664,148457.98
2500.754039938204,148503.56
2500.760985094842,148503.1
2500.7679302515385,148480.14
2500.7748754082345,148471.16
