Time,Flux
1870.436753542183,14657.639
1870.438142466101,14676.812
1870.439531390251,14680.965
1870.440920314169,14641.832
1870.4423092383208,14670.257
1870.4436981622387,14654.2295
1870.4450870863893,14635.047
1870.4464760103074,14657.681
1870.4478649344578,14614.094
1870.4492538586085,14655.468
1870.4506427825272,14665.712
1870.452031706678,14658.375
1870.4534206305962,14646.648
1870.4548095547468,14634.563
1870.4561984786642,14648.839
1870.457587402815,14672.292
1870.4589763269664,14647.168
1870.4603652508845,14641.808
1870.4631430989534,14655.553
1870.4645320231034,14625.235
1870.4659209472543,14636.749
1870.4673098711723,14625.13
1870.4686987953232,14634.6455
1870.4700877194741,14642.01
1870.471476643392,14671.5
1870.4728655675426,14621.673
1870.474254491693,14638.555
1870.475643415844,14650.667
1870.4770323397624,14612.122
1870.4784212639133,14652.533
1870.4798101880642,14625.311
1870.4811991119823,14626.13
1870.4839769602831,14619.812
1870.4853658844345,14616.693
1870.4867548085854,14644.614
1870.4881437325034,14599.749
1870.4895326566543,14634.183
1870.4909215808043,14634.507
1870.4923105049552,14621.713
1870.493699428874,14618.985
1870.4950883530246,14630.139
1870.4964772771755,14615.211
1870.4978662013264,14636.251
1870.4992551254766,14606.062
1870.5006440496272,14637.807
1870.502032973779,14656.005
1870.503421897697,14622.242
1870.504810821847,14624.909
1870.506199745998,14615.916
1870.5075886701488,14619.699
1870.5089775942988,14626.768
1870.5103665184497,14628.892
1870.511755442601,14596.404
1870.513144366752,14616.969
1870.5145332909028,14618.799
1870.5159222148209,14612.337
1870.5173111389709,14638.326
1870.5200889872735,14662.658
1870.5214779114242,14617.34
1870.5228668355749,14625.263
1870.5242557597257,14632.952
1870.5256446838762,14621.129
1870.5284225321784,14595.632
1870.5298114563293,14629.919
1870.5312003804802,14622.989
1870.5325893046308,14648.012
1870.533978228781,14622.201
1870.535367152932,14625.702
1870.5367560770833,14621.503
1870.5381450012342,14632.167
1870.539533925385,14643.207
1870.540922849536,14601.743
1870.5423117739188,14639.43
1870.543700698069,14615.211
1870.5450896222205,14614.252
1870.5478674705223,14650.691
1870.5506453188236,14654.691
1870.552034242974,14614.989
1870.553423167125,14647.531
1870.5548120912763,14632.24
1870.55620101566,14627.773
1870.557589939811,14623.927
1870.5589788639618,14632.379
1870.5603677881118,14616.768
1870.5617567122626,14634.543
1870.563145636414,14620.522
1870.5645345605649,14647.284
1870.5659234849486,14649.019
1870.5673124090995,14644.024
1870.5687013332495,14640.557
1870.5700902574004,14655.735
1870.571479181552,14645.664
1870.5728681059354,14637.211
1870.5742570300863,14618.469
1870.5798127269227,14631.497
1870.5839794996073,14630.614
1870.5895351964432,14652.974
1870.5964798174296,14692.494
1870.5978687415814,14652.053
1870.5992576659648,14665.442
1870.6006465901155,14636.253
1870.6048133628003,14664.845
1870.6062022871847,14649.113
1870.6075912113356,14638.3125
1870.61036905987,14655.204
1870.6145358325552,14658.753
1870.6159247567061,14628.997
1870.6173136810899,14635.546
1870.6187026052407,14646.893
1870.6200915293907,14617.741
1870.6214804537738,14648.389
1870.6228693779253,14617.333
1870.6242583023095,14662.482
1870.6270361506106,14665.556
1870.628425074994,14636.943
1870.6298139991445,14649.017
1870.6312029235282,14640.993
1870.6325918476796,14604.35
1870.6339807720633,14648.209
1870.6353696962142,14616.092
1870.636758620598,14653.906
1870.6381475447479,14629.129
1870.6395364691316,14655.845
1870.640925393283,14650.274
1870.6423143176667,14660.26
1870.6437032418175,14666.868
1870.6450921662013,14646.52
1870.6464810903512,14641.322
1870.647870014735,14638.629
1870.6492589388865,14623.513
1870.65064786327,14632.705
1870.652036787421,14641.997
1870.6534257118046,14643.813
1870.6548146359548,14692.893
1870.6562035603379,14632.226
1870.6575924844892,14647.726
1870.6589814088738,14665.0
1870.6603703332567,14633.87
1870.6617592574075,14667.89
1870.6631481817913,14670.676
1870.6645371059412,14677.151
1870.6659260303256,14675.378
1870.6673149544772,14658.307
1870.66870387886,14658.458
1870.6700928032437,14626.09
1870.6714817273946,14649.87
1870.6728706517774,14625.603
1870.6742595759283,14598.878
1870.6770374246964,14664.68
1870.678426348847,14639.055
1870.6798152732308,14648.323
1870.681204197614,14660.5
1870.6825931217647,14653.911
1870.6839820461491,14649.826
1870.6853709705329,14627.1875
1870.6867598946837,14644.1875
1870.6895377434503,14658.853
1870.6909266676012,14640.618
1870.6923155919853,14653.997
1870.693704516369,14637.805
1870.695093440519,14647.096
1870.6978712892865,14640.459
1870.6992602134367,14610.719
1870.700649137821,14636.86
1870.7020380622052,14651.805
1870.7034269863557,14645.857
1870.7048159107392,14647.114
1870.7062048351227,14638.6045
1870.707593759506,14714.441
1870.7089826836573,14651.994
1870.7103716080417,14636.187
1870.7117605324247,14648.983
1870.7131494565756,14637.45
1870.7159273053421,14631.229
1870.7214830026446,14635.409
1870.7228719270283,14670.769
1870.7242608511783,14640.136
1870.725649775562,14668.918
1870.7270386999464,14634.44
1870.72842762433,14652.431
1870.7298165487132,14656.33
1870.731205472864,14643.652
1870.7325943972476,14630.149
1870.7339833216306,14642.304
1870.7353722460148,14663.542
1870.7367611703994,14643.813
1870.7381500945494,14644.437
1870.739539018933,14624.4795
1870.7409279433168,14641.148
1870.7423168676996,14638.743
1870.743705792084,14670.613
1870.7520393381533,14655.508
1870.7534282625375,14650.437
1870.7548171866877,14675.341
1870.7562061110712,14645.291
1870.7575950354549,14613.516
1870.7589839598381,14644.258
1870.7603728842216,14628.664
1870.761761808606,14659.457
1870.7631507329897,14639.76
1870.7645396573735,14625.183
1870.7659285815241,14650.8
1870.7673175059072,14649.28
1870.76870643029,14650.107
1870.7700953546746,14649.751
1870.7742621278253,14637.918
1870.775651052209,14674.918
1870.777039976592,14675.573
1870.7784289009765,14656.391
1870.7798178251278,14653.818
1870.781206749511,14655.271
1870.7825956738945,14656.924
1870.783984598278,14657.68
1870.7853735226613,14638.425
1870.7867624470455,14665.85
1870.7881513714299,14649.927
1870.789540295813,14644.043
1870.7909292201966,14652.176
1870.7923181445803,14638.277
1870.7937070689632,14640.789
1870.7950959933473,14655.644
1870.796484917732,14665.351
1870.7978738421148,14682.514
1870.7992627664985,14617.759
1870.8006516908822,14636.134
1870.802040615265,14655.401
1870.8034295396483,14659.723
1870.8048184640325,14674.59
1870.8089852369508,14667.878
1870.8117630857173,14663.995
1870.815929858869,14641.434
1870.8173187832526,14650.649
1870.8187077076363,14673.348
1870.8200966320192,14696.495
1870.8214855564036,14666.786
1870.8228744810208,14637.47
1870.8242634054036,14653.519
1870.8256523297873,14659.435
1870.827041254171,14648.527
1870.8284301785538,14696.942
1870.8298191029385,14650.426
1870.8312080273226,14677.26
1870.8325969517057,14630.143
1870.8339858760892,14639.625
1870.835374800473,14657.351
1870.8367637248562,14641.46
1870.8381526492396,14647.94
1870.839541573624,14638.649
1870.8423194223906,14650.575
1870.8437083467743,14642.922
1870.845097271158,14655.283
1870.8464861955408,14655.943
1870.8478751199254,14671.038
1870.8492640443096,14659.152
1870.8506529686924,14666.026
1870.8520418930761,14667.949
1870.8534308176927,14635.531
1870.8548197420757,14656.739
1870.8562086664601,14677.424
1870.8575975908443,14643.826
1870.8589865152276,14676.994
1870.860375439611,14654.108
1870.8617643639946,14641.694
1870.8631532883778,14650.987
1870.864542212762,14679.183
1870.8659311371464,14667.874
1870.8673200615294,14648.759
1870.868708986146,14626.778
1870.8700979105297,14654.413
1870.8714868349125,14672.485
1870.875653608064,14642.524
1870.8770425324471,14621.793
1870.8784314568306,14667.434
1870.8798203812144,14648.733
1870.8812093058305,14655.256
1870.8825982302146,14651.779
1870.8839871545988,14635.049
1870.885376078982,14663.921
1870.8867650033658,14648.757
1870.8881539277493,14668.235
1870.8895428521323,14646.605
1870.8937096255167,14661.074
1870.8964874742842,14665.749
1870.897876398667,14699.288
1870.8992653230514,14636.445
1870.9006542476686,14670.039
1870.9020431720514,14674.849
1870.9034320964352,14652.053
1870.9048210208189,14646.613
1870.9089877942033,14678.964
1870.9103767185863,14669.781
1870.9117656429694,14684.177
1870.913154567353,14666.737
1870.9145434917368,14646.431
1870.9159324161203,14678.968
1870.9173213407375,14688.21
1870.920099189504,14691.808
1870.9214881138878,14661.487
1870.9228770382715,14678.565
1870.927043811656,14683.3545
1870.9284327360388,14656.692
1870.9298216604225,14697.291
1870.931210585039,14661.325
1870.9353773581906,14643.686
1870.9381552071902,14667.511
1870.9395441315737,14661.427
1870.940933055957,14641.582
1870.9423219803411,14632.481
1870.9437109047255,14681.934
1870.9450998293414,14656.299
1870.9464887537242,14668.859
1870.947877678108,14661.367
1870.9506555271082,14648.215
1870.9520444514924,14653.384
1870.953433375876,14660.226
1870.9548223002591,14658.696
1870.9562112246426,14663.921
1870.9576001492592,14673.684
1870.958989073643,14679.631
1870.9603779980273,14647.893
1870.9617669224108,14658.933
1870.9631558470269,14668.853
1870.9645447714106,14642.791
1870.965933695794,14670.457
1870.9673226201771,14635.885
1870.9687115447941,14634.59
1870.9701004691788,14650.786
1870.9714893935616,14637.046
1870.9728783179453,14685.206
1870.9742672425618,14678.354
1870.9756561669446,14701.979
1870.977045091329,14650.009
1870.9812118647128,14646.918
1870.9826007890965,14668.588
1870.9839897134793,14677.419
1870.9853786380959,14656.984
1870.9867675624805,14656.789
1870.988156486864,14689.6875
1870.989545411247,14677.345
1870.9909343358636,14682.612
1870.9923232602473,14648.729
1870.9937121846308,14649.343
1870.9951011090152,14649.975
1870.9964900336317,14640.698
1870.9978789580146,14655.206
1870.9992678823983,14671.203
1871.0006568070148,14649.696
1871.0020457313985,14673.741
1871.0034346557827,14632.968
1871.0048235801664,14628.998
1871.006212504782,14641.726
1871.0076014291658,14673.518
1871.0089903535495,14651.915
1871.0103792781654,14697.634
1871.0117682025498,14665.17
1871.013157126934,14657.9
1871.0145460513172,14647.387
1871.0159349759335,14648.712
1871.017323900317,14641.488
1871.0187128247003,14642.486
1871.0201017493168,14684.102
1871.021490673701,14643.133
1871.0228795980847,14682.694
1871.0242685224675,14655.301
1871.025657447084,14641.834
1871.0270463714678,14647.359
1871.0284352958515,14643.326
1871.0298242204685,14667.529
1871.0312131448522,14663.836
1871.0326020692353,14679.956
1871.0339909938516,14656.818
1871.0353799182353,14664.847
1871.036768842619,14670.608
1871.0381577670034,14640.359
1871.0395466916198,14670.336
1871.040935616003,14658.144
1871.0423245403867,14669.42
1871.043713465003,14659.852
1871.045102389386,14640.243
1871.0464913137703,14670.018
1871.0478802383877,14668.246
1871.0492691627705,14683.24
1871.0506580871543,14647.254
1871.0520470117708,14681.34
1871.0534359361536,14681.346
1871.0548248605373,14671.75
1871.0562137849215,14643.558
1871.057602709538,14664.337
1871.0589916339213,14644.312
1871.0603805583048,14648.357
1871.0617694829211,14662.084
1871.0631584073049,14696.146
1871.0645473316895,14667.111
1871.0659362563058,14660.946
1871.0673251806888,14649.746
1871.0687141050726,14647.895
1871.070103029689,14671.235
1871.0714919540726,14666.309
1871.072880878457,14658.542
1871.0742698030735,14672.468
1871.0756587274564,14656.433
1871.07704765184,14667.734
1871.0784365764566,14647.182
1871.0798255008403,14685.335
1871.0812144252245,14674.146
1871.082603349841,14675.53
1871.0839922742239,14665.003
1871.0867701232241,14656.607
1871.0881590476072,14661.674
1871.0909368966081,14673.616
1871.0937147453747,14679.008
1871.0951036699912,14667.215
