Time,Flux
1983.6375310717235,24303.047
1983.6389199609116,24261.879
1983.6403088500992,24254.166
1983.6416977397525,24244.006
1983.643086628941,24244.182
1983.6444755181292,24265.756
1983.6458644073173,24266.096
1983.647253296505,24291.78
1983.6486421861582,24260.201
1983.6500310753459,24251.742
1983.6514199645335,24272.924
1983.652808853722,24249.484
1983.654197743375,24272.71
1983.6555866325625,24227.654
1983.656975521751,24259.193
1983.6583644109392,24227.277
1983.6597533005934,24219.926
1983.661142189781,24280.297
1983.6625310789686,24273.314
1983.6639199686224,24225.44
1983.6653088578105,24255.414
1983.6666977469981,24265.268
1983.6680866366514,24186.734
1983.66947552584,24187.764
1983.670864415028,24240.127
1983.6722533046823,24241.695
1983.6736421938697,24288.531
1983.6750310835228,24248.754
1983.6764199727113,24229.984
1983.6778088618994,24228.527
1983.6847533087707,24212.021
1983.6889199772659,24242.467
1983.690308866454,24242.938
1983.6916977561082,24226.615
1983.6930866452958,24259.959
1983.6944755349489,24197.541
1983.6958644241372,24204.291
1983.697253313791,24233.31
1983.6986422029795,24240.768
1983.7000310926328,24227.922
1983.7014199818204,24200.887
1983.7028088714742,24231.38
1983.7041977606625,24239.168
1983.7055866503165,24204.92
1983.7069755399698,24229.158
1983.7083644291574,24213.236
1983.7097533188112,24235.52
1983.7111422079997,24204.291
1983.7125310976535,24199.744
1983.7139199873068,24197.021
1983.7153088764944,24201.967
1983.7166977661482,24191.764
1983.7180866553367,24251.238
1983.71947554499,24224.926
1983.7208644346433,24243.6
1983.7222533238314,24210.473
1983.7236422134856,24229.03
1983.7250311031394,24204.025
1983.726419992326,24211.05
1983.727808881979,24228.236
1983.7291977716327,24196.2
1983.730586661287,24223.688
1983.731975550475,24174.941
1983.7333644401283,24217.523
1983.7347533297816,24210.004
1983.7361422189697,24187.465
1983.737531108624,24209.21
1983.7389199982777,24214.875
1983.740308887931,24206.076
1983.7416977775842,24200.574
1983.7430866667728,24220.783
1983.7444755564266,24192.604
1983.7458644460798,24212.752
1983.7472533357331,24213.166
1983.748642225387,24163.223
1983.7500311145754,24216.055
1983.7514200042292,24216.34
1983.7528088938825,24177.625
1983.7541977835358,24208.951
1983.7555866731896,24223.133
1983.7569755628438,24232.844
1983.7583644520319,24236.135
1983.7597533416852,24187.166
1983.7611422313385,24229.377
1983.7625311209927,24253.707
1983.7639200106464,24209.76
1983.7653089003002,24192.945
1983.7680866796068,24214.57
1983.769475569261,24197.188
1983.7708644589147,24184.336
1983.772253348568,24234.936
1983.7736422382213,24195.934
1983.7750311274094,24166.312
1983.7764200170636,24228.582
1983.7778089067174,24218.812
1983.7791977963707,24217.076
1983.780586686024,24198.982
1983.7819755756782,24208.91
1983.783364465332,24216.725
1983.784753354986,24176.2
1983.786142244639,24177.338
1983.7875311342923,24186.178
1983.7889200244122,24251.777
1983.790308914066,24199.076
1983.7916978037201,24219.51
1983.7930866933734,24199.24
1983.7944755830265,24214.938
1983.7958644726805,24182.973
1983.7972533623342,24204.541
1983.7986422519875,24225.121
1983.8000311416408,24189.844
1983.801420031295,24215.35
1983.8028089209488,24194.479
1983.804197810602,24173.52
1983.8055867007201,24222.535
1983.8069755903734,24215.63
1983.8083644800276,24201.592
1983.8097533696814,24187.07
1983.8111422593356,24203.26
1983.812531148989,24190.422
1983.8139200391076,24199.088
1983.8153089287616,24156.605
1983.8166978184154,24223.48
1983.8180867080696,24180.264
1983.8194755977229,24196.732
1983.8208644878418,24195.236
1983.8222533774956,24169.541
1983.8236422671498,24170.66
1983.8250311568029,24177.379
1983.8264200469216,24219.205
1983.8278089365758,24192.258
1983.8291978262296,24222.002
1983.8305867158838,24184.162
1983.8319756060027,24198.385
1983.833364495656,24199.33
1983.8347533853098,24180.143
1983.8361422749635,24161.057
1983.8375311650834,24198.58
1983.8389200547367,24245.252
1983.84030894439,24193.74
1983.8416978345094,24197.43
1983.8430867241636,24210.094
1983.8444756138174,24167.158
1983.8458645039364,24122.498
1983.8472533935897,24178.46
1983.848642283709,24163.818
1983.8500311733633,24180.924
1983.8514200630166,24162.732
1983.8528089531355,24154.217
1983.8541978427893,24176.229
1983.855586732443,24182.352
1983.856975622563,24202.49
1983.8583645122162,24175.531
1983.8597534023352,24163.994
1983.861142291989,24180.414
1983.8625311821088,24178.275
1983.8639200717625,24149.166
1983.8653089614158,24176.994
1983.8666978515348,24177.13
1983.8680867411886,24133.107
1983.8694756313084,24190.965
1983.8708645209617,24162.303
1983.8722534110807,24168.764
1983.8736423007344,24171.63
1983.875031190854,24202.709
1983.876420080508,24129.799
1983.877808970627,24179.979
1983.8791978602803,24139.838
1983.8805867503993,24166.605
1983.8819756405182,24181.172
1983.883364530172,24172.328
1983.884753420291,24181.447
1983.8861423099443,24194.477
1983.8875312000637,24164.602
1983.8889200897179,24191.682
1983.8903089798373,24175.652
1983.8916978694906,24196.664
1983.8930867596096,24174.135
1983.8944756497292,24163.693
1983.8958645393832,24184.916
1983.8972534295021,24141.338
1983.898642319621,24187.55
1983.9000312092749,24154.482
1983.9014200993947,24185.045
1983.9028089890485,24182.682
1983.9041978791674,24138.219
1983.9055867692864,24194.018
1983.9069756589402,24132.598
1983.90836454906,24169.0
1983.9097534391794,24144.926
1983.9111423292984,24138.402
1983.9125312189517,24157.936
1983.9139201090713,24144.707
1983.915308999191,24160.28
1983.9166978888447,24175.787
1983.9180867789637,24163.555
1983.9194756690827,24163.842
1983.9208645592025,24165.252
1983.9222534488563,24181.076
1983.9236423389752,24127.43
1983.9250312290942,24135.754
1983.9264201192136,24165.926
1983.9278090088678,24180.092
1983.9291978989872,24162.518
1983.9305867891062,24162.303
1983.9319756792252,24133.201
1983.933364569345,24147.469
1983.9347534589988,24137.57
1983.9361423491182,24156.234
1983.9375312392372,24129.678
1983.9389201293561,24132.484
1983.940309019476,24130.592
1983.9416979091297,24122.062
1983.9430867992487,24162.865
1983.9444756893677,24120.17
1983.945864579487,24166.973
1983.947253469607,24108.406
1983.9486423597264,24139.102
1983.9500312498453,24147.496
1983.9514201399643,24134.746
1983.9528090296185,24143.744
1983.954197919738,24124.691
1983.9555868098576,24121.156
1983.9569756999763,24177.238
1983.9583645900948,24133.207
1983.9597534802137,24167.932
1983.9611423703332,24159.135
1983.962531260453,24137.32
1983.9639201505718,24109.049
1983.9653090406905,24127.031
1983.9666979308104,24181.791
1983.9680868209298,24131.764
1983.9694757110487,24118.736
1983.9708646011677,24161.605
1983.9722534912876,24148.992
1983.973642381407,24146.36
1983.9750312715266,24125.594
1983.9764201616454,24099.834
1983.9778090517643,24144.947
1983.9791979418842,24152.209
1983.9805868320036,24126.154
1983.9819757221235,24130.752
1983.9833646122424,24165.9
1983.9847535023612,24186.238
1983.9861423924808,24132.766
1983.9875312826002,24121.96
1983.98892017272,24151.734
1983.990309062839,24082.873
1983.991697952958,24129.447
1983.9930868430774,24111.14
1983.994475733197,24122.977
1983.9958646237815,24157.775
1983.9972535139004,24110.371
1983.9986424040203,24165.84
1984.0000312941397,24135.764
1984.0014201842596,24144.764
1984.0028090743785,24149.895
1984.0041979644973,24144.973
1984.005586854617,24123.879
1984.006975745202,24141.225
1984.0083646353219,24149.416
1984.0097535254408,24100.465
1984.0111424155598,24135.469
1984.0125313056792,24123.447
1984.013920195799,24134.482
1984.0153090863835,24133.17
1984.0166979765022,24125.525
1984.018086866622,24130.434
1984.0194757567415,24105.451
1984.0208646468614,24102.72
1984.022253537446,24137.197
1984.023642427565,24115.525
1984.0250313176844,24137.277
1984.0264202078038,24098.053
1984.0278090983893,24126.951
1984.0291979885083,24094.441
1984.0305868786272,24081.207
1984.0319757687466,24131.035
1984.0333646593322,24115.611
1984.034753549451,24129.238
1984.0361424395692,24113.402
1984.0375313296881,24104.398
1984.0389202202732,24115.574
1984.040309110393,24148.826
1984.041698000512,24105.387
1984.0430868910967,24166.09
1984.044475781216,24109.328
1984.0458646713355,24132.652
1984.047253561921,24135.586
1984.04864245204,24118.773
1984.050031342159,24100.127
1984.051420232744,24109.232
1984.052809122864,24094.834
1984.0541980129833,24124.361
1984.055586903568,24079.15
1984.056975793687,24123.855
1984.0583646838063,24129.31
1984.0597535743918,24139.48
1984.0611424645108,24099.969
1984.0625313550954,24103.271
1984.0639202452148,24109.666
1984.0653091353345,24132.86
1984.0666980259198,24104.182
1984.0680869160387,24138.637
1984.0694758066234,24088.916
1984.0708646967428,24130.627
1984.0722535873283,24113.076
1984.0736424774477,24153.012
1984.0750313675667,24100.566
1984.0764202581513,24116.307
1984.0778091482707,24112.68
1984.0791980388562,24108.809
1984.0805869289757,24141.424
1984.0819758195603,24089.266
1984.0833647096792,24071.875
1984.0847536002645,24086.203
1984.0861424903842,24111.77
1984.0875313809688,24075.484
1984.0889202710878,24128.13
1984.0903091616728,24117.875
1984.0916980517927,24080.941
